,year,title,plot
4644,1977,Wizards,"in a post apocalyptic future that appears as a blend of world war ii europe and j . r . r .  tolkien ' s middle - earth ,  a pint - size wizard named avatar must save the world from a band of fascist mutants controlled by his evil twin brother ,  blackwolf ,  who likes to confuse enemy armies by projecting films of adolf hitler speeches during attacks .  painted live - action footage of advancing nazi armies contrasts with saturday - morning - cartoon - style animation of fairies and elves as avatar travels through various magical and radioactive realms on his quest .  aiding him are the beautiful fairy princess elinore ,  hot - blooded warrior elf weehawk ,  and peace ,  a misunderstood robot rebelling against his blackwolf - controlled programming .  a bizarre and psychedelic meditation on magic vs .  technology ,  this ultimate futuristic fantastic epic cult film still finds an audience on college campuses and will prove quite rewarding to viewers in the right frame of mind ."
4646,2013,Blue Ruin,"a mysterious outsider ' s quiet life is turned upside down when he returns to his childhood home to carry out an act of vengeance .  proving himself an amateur assassin ,  he winds up in a brutal fight to protect his estranged family ."
4648,1984,Places in the Heart,"set in  N  waxahachie ,  texas ,  places in the heart tells a story  -  -  not unlike the familiar story told by the film  "" it ' s a wonderful life ""   -  -  of the delicate balance one life can exert upon so many others .  when sheriff royce spalding is accidentally killed by a drunken gunman ,  his wife ,  edna ,  is suddenly thrust into the role of provider for her two small children ,  frank and possum .  then  "" mose ,  ""  an out - of - work black man begging for every meal in the racist south of the depression era ,  happens along with a scheme to plant cotton on her forty acres .  it is the only chance edna has to keep her family together .  meanwhile ,  mr .  denby ,  of the bank which owns the mortgage on the farm ,  is quick to extend a  "" hand of charity ""  to mrs .  spalding by depositing his blind brother - in - law  ( mr .  will )  with her for safekeeping .  margaret ,  edna ' s sister and a local  "" beauty operator ,  ""  is unable to provide much help ;  her beauty shop is all that stands between herself ,  her philandering husband ,  and a small daughter on one side and poverty on the other .  a tornado offers their first challenge .  emerging from the storm cellar ,  blind mr .  will asks  "" how bad is it ?  ""   "" well ,  ""  mose responds ,   "" everything ' s a little bent ,  but it ' s still here .  ""  next ,  the bottom falls out of the cotton market and edna ' s only chance to make the mortgage payment is that she be first to bring her crop to the cotton mill and claim the $ N  first prize for doing so .  in her way is the local chapter of the ku klux klan which objects to mose ' s efforts to best a white man to the prize money .  in spite of the church setting of the final scene of the film ,  it seems karmic in its implications ."
4650,1977,A Bridge Too Far,"the true story of operation market garden ,  the allies attempt ,  in september  N  ,  to hasten the end of ww N  by driving through belgium and holland into germany .  the idea was for us airborne divisions to take the towns of eindhoven and nijmegen and a british airborne division ,  reinforced by a polish airborne brigade ,  to take the town of arnhem .  they would be reinforced ,  in due course and in turn ,  by the british xxx corps ,  land - based and driving up from the british lines in the south .  the key to the operation was the bridges ,  as if the germans held or blew them ,  the paratroopers could not be relieved .  faulty intelligence ,  allied high command hubris and stubborn german resistance would ensure that arnhem was a bridge too far ."
4652,2008,Sleepwalking,"james  "" speedy ""  reedy is anything but .  he ' s a twenty - something slacker sleepwalking through life in a midwestern town .  his older sister ,  joleen calls him in the middle of the night after the police have arrested her boyfriend and tossed her and her  N  - year - old daughter tara on the street .  james takes them in ,  then joleen ,  who claims to have a plan ,  leaves with a trucker and a stash of drug money .  james tries to cope ,  but soon he ' s lost his job ,  and child protective services places tara in foster care .  she ' s miserable .  can james wake up and find a way to be more than just a nice guy ?  a road trip to his childhood may hold a key ,  or it may be another bad dream ."
4653,1914,Gertie the Dinosaur,"the cartoonists winsor mccay and george mcmanus ,  the humorist roy mccardell ,  and others are out for a joy ride when suddenly a tire goes flat .  as the driver fixes it ,  the company visits a nearby museum .  the skeleton of a dinosaur inspires an idea .  mccay bets mcmanus that he can make the dinosaurus live again .  six months and ten thousand drawings later ,  mccay is ready to win his bet .  as the group dines ,  mccay presents his newest and most fantastic creation :  gertie the dinosaur .  before the party ' s astonished eyes ,  the drawing of a prehistoric scene comes to life as gertie emerges from a cave .  gertie dances ,  cries ,  eats a pumpkin ,  devours a large tree and more ."
4654,1984,The Pope of Greenwich Village,""" little italy ""  in new york :  charlie and his cousin paulie aren ' t lucky job - wise .  charlie is cool ,  but paulie ' s maroonic behavior constantly brings them in trouble .  then paulie comes up with the idea to rob the safe of a small company .  together with a safe expert they go for it .  however the $ N  ,  N  they get are hot :  it belongs to the mob and was intended to corrupt the police .  the mob only knows the name of the safe man ,  but they try very hard to find the rest of the gang ,  too .  .  ."
4658,2011,Some Guy Who Kills People,"this film is about ken boyd ,  a guy who is not long out of a mental hospital who is working at an ice - cream / burger parlor .  the people that put him in the mental hospital start turning up dead ,  killed in horrific ways .  he finds out he has a daughter while at the same time that these killings are happening in the town .  meanwhile the local sheriff is going out with ken ' s mom and he starts to suspect that ken is the killer .  all the evidence is pointing that way ,  and ken ' s estranged daughter catches him in a compromising position .  it ' s not looking good for ken ."
4662,1989,Leviathan,"in the atlantic ocean ,   N  ,  N  feet deep ,  the tri oceanic mining corporation keeps a eight - men crew with the mission of extracting silver and other precious metals .  the geologist and leader steven beck works with dr .  glen  ' doc '  thompson managing the miners astronaut wannabe elizabeth  ' willie '  williams ,  the prankster buzz  ' sixpack '  parrish ,  justin jones ,  tony  ' dejesus '  rodero ,  bridget bowman and g .  p .  cobb .  he is also the liaison with the tri oceanic executive ms .  martin .  in their next to last day ,  willie and sixpack are assigned to work outside the base and sixpack falls in a hole .  willie seeks him out and finds a russian vessel named leviathan .  sixpack finds a safe inside the vessel and brings it to their base .  they find money ,  vodka ,  a videotape and documents and beck keeps the content of the safe .  however sixpack steals a bottle of vodka and drinks with bowman .  meanwhile beck and doc watch the videotape and the russian captain explains a problem that killed his crew .  on the next morning ,  sixpack does not feel well and stays in the sickbay .  soon doc learns that his patient has a genetic mutation .  when bowman shows the same symptoms ,  beck asks ms .  martin to rescue them .  but there is a hurricane on the surface and the rescuing mission is not possible ."
4666,2010,Exporting Raymond,"follow phil rosenthal ,  creator of the hit tv series  ' everybody loves raymond ,  '  in this incredibly funny true story of the attempt to translate  ' raymond '  into a russian sitcom .  a hilarious ,  warm and intimate journey of one man ,  considered an expert in his country ,  who travels to a distant land to help people that don ' t seem to want his help .  lost in moscow ,  lost in his mission ,  lost in translation ,  phil tries to connect to his russian colleagues but runs into unique characters and situations that conspire to drive him insane .  the movie is a true international adventure ,  a genuine  ' fish out of water '  comedy that could only exist in real life ."
4669,2007,Georgia Rule,"rachel comes to stay with her grandmother georgia for the summer leaving some obvious problems behind at home .  her alcoholic mother doesn ' t even stay the night before rushing back out to california to be with her husband .  rachel shakes up the town ,  a beautiful girl in the boring mormon country .  then she reveals her deepest secret to one of her new friends ,  and her mother comes rushing back to find out if its true .  in the midst of this crisis the three woman become closer than ever and start to understand each other more ."
4670,1951,Father's Little Dividend,in this sequel to
4673,1934,Bright Eyes,"when a maid is accidentally hit by a car and killed ,  her young orphaned daughter is forced to live with the snooty couple she used to work for .  a custody battle soon ensues between an aviator who adores the little girl and the couple ' s crotchety uncle ned ."
4675,1977,"New York, New York","the day wwii ends ,  jimmy ,  a selfish and smooth - talking musician ,  meets francine ,  a lounge singer .  from that moment on ,  their relationship grows into love as they struggle with their careers and aim for the top ."
4697,1998,No Looking Back,"claudia has lived all her life in a small ,  seaside ,  blue - collar town ,  hanging out with the same group of friends since grade school .  now she ' s waiting tables in a greasy spoon to help support her mother .  after three years together ,  her live - in boyfriend ,  michael ,  is eager to tie the knot .  their life together is comfortable and michael loves her .  but claudia has dreams of life beyond her home town and is afraid that if she marries now ,  she ' ll never realize them .  claudia ' s sister kelly lives with her mother and struggles with good humor to care for her fatherless baby .  their mother hasn ' t left the house since claudia ' s dad walked out on the family six months ago .  no one understands why claudia sympathizes with her renegade father ,  like him ,  she has a wild ,  restless streak and longs for more .  but she can ' t quite put her finger on what it is she wants .  so when her old flame ,  charlie ,  returns from out west ,  she begins to wonder .  .  .  maybe he ' s the answer ."
4699,2006,The Departed,"crime boss francis  "" frank ""  costello leads and raises young colin sullivan  ( matt damon )  to be a mole in the massachusetts state police .  meanwhile ,  his eventual rival billy costigan  ( dicaprio )  is recruited by staff sergeant dignam  ( mark wahlberg )  and captain queenan  ( martin sheen )  to go undercover to infiltrate the mob .  in this epic ,  explosive ,  mystifying movie ,  the two search after each other as they are both involved affairs of the opposite organization .  playing the cat - and - mouse game constantly through the film ,  in the end ,  sullivan connects to costigan who refuses to cancel his mission .  sullivan additionally learns of costello ' s role as informer for the fbi ,  causing him to care about his identity .  later on ,  costigan finds an envelope from costello revealing sullivan ' s plan as a mole .  madolyn  ( farmiga )  ,  sullivan ' s girlfriend ,  hears the plans from the envelope and finds sullivan is working as a mole for the mob .  on a roof ,  costigan finds sullivan sorry and with hesitation ,  and identifies him as the mole ,  arresting him ,  but when he takes him down the elevator ,  he is shot by trooper barrigan ,  who is also working as a source for the mob ,  who is then shot later by sullivan ,  who identifies barrigan rather as the mole .  in this suspenseful ,  deceitful ,  conniving thriller ,  sullivan is finally identified as the mole who pervaded the fbi ."
4703,1971,The Big Doll House,"beautiful women prisoners are abused in a philippine prison ,  until  N  of them plot an escape by taking the evil female warden hostage with the reluctant help of  N  male fruit vendors ."
4711,1990,Hardware,"in the desert wasteland of a post - apocalyptic future ,  a scavenger known as a  "" zone tripper ""  discovers some robotic remains which he sells on to a marine returning home from an off - world tour of duty .  after failing to negotiate a decent price with a local junk dealer called alvy ,  the marine ,  mo ,  decides to give the dismantled robot to his girlfriend jill as a christmas present .  but as she begins to use the wreckage in a sculpture she ' s been working on ,  a frantic call from alvy brings mo back to the junk yard ,  where he discovers that the robot is more than just a service droid ;  it is a mark  N  :  a military robot suffering a major design fault that rendered it a deadly killing machine .  but worse than that ,  the mark  N  is capable of self - repair .  with jill trapped in her apartment ,  the terrifying fight for survival begins .  will any flesh be spared ?"
4713,2013,The Lifeguard,"N  - year - old leigh is on leave from her job in new york city after feeling a sense of emptiness and sadness in her life .  leigh has returned to her parents '  home ,  to her high school job as a lifeguard and to her high school friends still in town .  but leigh continues to struggle in finding happiness since her parents don ' t approve and she ' s bullied by local kids at the pool .  leigh finds an almost like kindred spirit in high school student little jason ;  but when their friendship turns into an illicit relationship ,  her friends don ' t approve and even more tragedy awaits leigh in her personal journey towards happiness ."
4719,1998,The Swan Princess: The Mystery of the Enchanted Treasure,"now the royal couple odette and derek face yet another evil magician ,  this time a woman named zelda .  she was once a consort to rothbart ,  plans to wreak havoc to their kingdom by stealing the forbidden arts .  as part of her plan ,  she captures a yakey - bird named whizzer who has the ability to imitate any voice after hearing it only once .  threatening his life ,  she sends whizzer to the castle at swan lake as a spy .  there ,  whizzer overhears that derek did not destroy rothbart ' s notes on the forbidden arts .  the prince then must face zelda in an exciting showdown to rescue odette ."
4727,1975,The Fortune,"the early  N  ' s with its mann - act  ( disallowing women to be transported across state lines for immoral reasons )  brings a married man to devise a scheme for taking his upper - class girlfriend away with him .  .  .  he simply has her marry his unmarried buddy .  however ,  it doesn ' t take very long before both men start laying claim to her affection .  .  .  until ,  that is ,  she ' s about to be cut out of her parent ' s fortune .  so ,  a new scheme is devised ,  which only adds to their problems ,  as well as to the sly whimsy of this film ."
4728,1991,The Object of Beauty,"charming comedy about how a couple ' s relationship waivers in tandem with the disposition of their statuette .  with no fixed abode ,  jake and tina live in hotels across the world .  with a large bill due ,  and money in short supply ,  their plan to  "" steal ""  their henry moore statue and claim against it is thwarted when someone else steals it first !  they soon start distrusting each other ' s motives as they search for the statue ,  and keep trying to get its valuation boosted while avoiding the bill .  with no sign of it ,  they start to drift apart ,  despite being in love ,  and don ' t reconcile until it reappears one day  -  having been stolen by a deaf - mute maid ,  who feels the statue  "" spoke ""  to her ."
4729,2005,Dominion: Prequel to the Exorcist,"after one of his men is murdered with a kitchen knife in his back ,  a nazi officer gathers all the citizens in the small holland town and orders ten of them to be shot .  and he demands that the town ' s priest ,  father merrin ,  choose which ten .  british east africa ,   N  .  it ' s three years later .  father merrin has lost his faith ,  and his standing in the church is undecided .  merrin has now developed an interest in archeology .  he is working now on his sixth archeological dig ,  and this one is by far the most fascinating .  he ' s supervising the uncovering of a church that dates from the fifth century in an area where there should be no christian church that old .  a woman doctor ,  a zealous young missionary ,  an overzealous british major and merrin soon find themselves caught in a battle between good and evil ,  as the dig supernaturally causes a crippled adolescent ,  shunned by the local tribe ,  to become possessed by a demon ."
4732,1981,"Looney, Looney, Looney Bugs Bunny Movie","this is the second feature - length film containing classic warner brothers cartoons linked together by newly animated footage .  it is divided into three parts ,  all of which are being shown in a theater as part of a film ceremony honoring the classic looney tunes characters .  part  N  involves yosemite sam ' s pact with the devil to exchange his place in hell with bugs bunny ,  provided that sam can lure bugs into sin and then kill him .  part  N  is a parody of tv crime - fighting dramas as bugs is selected by law - enforcement to find and apprehend gangster rocky ,  who has kidnaped tweety bird for a ransom .  part  N  is an academy awards - like contest in which various classic cartoon shorts are showcased ."
4735,1974,Thieves Like Us,"two convicts break out of mississippi state penitentiary in  N  to join a third on a long spree of bank robbing ,  their special talent and claim to fame .  the youngest of the three falls in love along the way with a girl met at their hideout ,  the older man is a happy professional criminal with a romance of his own ,  the third is a fast lover and hard drinker fond of his work .  the young lovers begin to move out of the sphere in which they have met ,  a last robbery in yazoo city goes badly and puts paid to the gang once and for all as a profitable venture ,  but isn ' t the end of the story quite yet ,  as all three are wanted and notorious men with altogether different points of view on the situation they are faced with ."
4736,2013,Elysium,"in the future earth is over populated and so polluted that the wealthy and powerful create a new place to live .  it ' s called elysium and it ' s just within earth ' s orbit .  and they have all sorts of conveniences among them is a machine can heal anyone .  so people on earth who want to use it try to get there .  but the secretary of defense delacourt uses unsanctioned operatives like a man named kruger to keep them off elysium .  her latest attempt to keep people off alysium catches the ire of the president who tells her to tone down her attitude and to stop using me like kruger .  delacourt then approaches the head of armadyne corp ,  the company that built elysium and all of what they use up there and asks him to make a program that would allow her to remove the president and put someone else in his position .  he agrees to do it .  on earth ,  max a man who has dreamed of going to elysium and taking frey ,  a girl he grew up with there .  max works for armadyne and while at work max is exposed to radiation and has days to live and needs to go to elysium to use the machine .  so he approaches spider the man who gets people to elysium for a price .  but since max can ' t pay him ,  he makes max a proposition ,  he will get him there if max gets some information out of the head of armadyne ' s head .  max agrees and is fitted with an exo - skeleton to help him .  they intercept the man as he was leaving for elysium to deliver the program to delacout and get the information out of him .  delacourt would send kruger to save the man but is killed in the crossfire .  delacourt tells kruger to get max because he has the program in his head .  and kruger decides to get max through frey .  when spider sees the program he tells max this could change the whole system but max wants to help frey first ."
4737,2006,Pirates of the Caribbean: Dead Man's Chest,"picking up where the first movie left off ,  will turner and elizabeth swan are to be married .  however this is interrupted when both are arrested for aiding in the notorious captain jack sparrow ' s escape .  the new captain ,  beckett ,  will lift all charges ,  if will can hunt down jack and bring him back to beckett ,  along with his magic compass .  however ,  jack has other problems .  years ago ,  he made a deal with davy jones to raise the black pearl .  time is up .  his part of the deal was to give davy jones his soul .  once will finds jack ,  unaware of the current situation ,  jack coaxes will into boarding davy jones ' s ship ,  the flying dutchman ,  and retrieve a mysterious key .  this key opens the chest that contains davy jones ' s secret .  with it ,  you can control davy jones and his fearsome beast ,  the kraken .  once will retrieves said key ,  davy jones is hot on his trail ,  now hunting down both jack and will .  it is now ,  only a matter of time ,  before something happens .  hopefully the pirates can reach the chest and stop davy jones ,  before he reaches them and sends them all to a watery grave .  .  ."
4741,2014,Kelly & Cal,"kelly ,  a punk - rocker turned suburban mom ,  is nostalgic for a life she can no longer have and uncertain of a future she doesn ' t yet fit in .  seventeen - year - old cal is frustrated at his lack of control over the hand he ' s been dealt .  when the two strike up an unlikely friendship ,  it ' s the perfect spark needed to thrust them both back to life ."
4744,1989,New York Stories,"a middle - aged artist obsessed with his pretty young assistant ,  a precocious  N  year old living in a hotel ,  and a neurotic lawyer with a possessive mother make up three gotham tales ."
4748,1976,A Star Is Born,"talented rock star john norman howard has seen his career begin to decline .  too many years of concerts and managers and life on the road have made him cynical and the monotony has taken its toll .  then he meets the innocent ,  pure and very talented singer esther hoffman .  as one of his songs in the movie says  "" i ' m gonna take you girl ,  i ' m gonna show you how .  ""  and he does .  he shows esther the way to stardom while forsaking his own career .  as they fall in love ,  her success only makes his decline even more apparent ."
4752,2014,The Lego Movie,"the evil plans of lord business to ensure order in his world with a powerful weapon is in jeopardy as a prophecy about  ' special '  comes true with the discovery of  ' piece of resistance '  .  with odds like bad cop ,  micro managers and  ' man from upstairs '  stacked against him during his journey to save the world ;  emmett ,  a construction worker ,  has a long way to go before he succeeds ."
4757,1963,Son of Flubber,"professor ned brainard ' s discovery of flubber hasn ' t quite brought him  -  or his college  -  the riches he thought .  the pentagon has declared his discovery to be top secret and the irs has slapped him with a huge tax bill ,  even if he has yet to receive a cent .  he thinks he may have found the solution in the form of flubbergas ,  which can change the weather .  it also helps medfield college ' s football team to win a game .  at home ,  his wife betsy is jealous of the attention lavished on him by an old high school girlfriend ."
4760,1941,Man Hunt,"british hunter thorndike vacationing in bavaria has hitler in his gun sight .  he is captured ,  beaten ,  left for dead ,  and escapes back to london where he is hounded by german agents and aided by a young woman ."
4761,2008,Julia,"julia is a drunk .  she loses her job in real estate and at an a . a .  meeting meets a neighbor ,  elena ,  an addled mexican woman who talks about having lots of money and a plan to kidnap her own son from the boy ' s grandfather ,  a wealthy businessman .  elena wants julia ' s help .  julia says yes with her own plan to do this alone .  following elena ' s plan ,  julia manages to grab the boy ,  tom ,  who ' s about  N  .  now what ?  she asks for a ransom .  tom ' s grandfather and his money are connected directly to mexican drug trafficking ,  so julia is up against long odds .  will anyone make it out alive ?"
4777,1950,Rocketship X-M,"astronauts  ( lloyd bridges ,  osa massen ,  john emery ,  noah beery ,  jr .  ,  and hugh o ' brien )  blast off to explore the moon .  because of craft malfunction and some fuel calculations ,  they end up landing on mars .  on mars ,  evidence of a once powerful civilization is found .  the scientists determine that an atomic war destroyed most of the martians  ( who surprisingly look like humans )  .  those that survived reverted to a caveman - like existence ."
4778,1943,Above Suspicion,"about to set off on his  N  honeymoon ,  an oxford don is approached by the foreign office .  knowing war is near ,  they need to get information back from an unknown source in germany and ask for his help ,  which he readily offers .  at first ,  the american couple find following the secret trail great fun but as they get deeper into southern germany they realise real danger threatens them both ."
4780,1980,Heaven's Gate,"in michael cimino ' s bleak anti - western based on events in  N s wyoming ,  sheriff james averill attempts to protect immigrant farmers from wealthy cattle interests ,  and also clashes with a hired gun ,  nathan champion ,  over the woman they both love .  both men find themselves questioning their roles in the furious conflict between wealthy landowners and european immigrants attempting to build new lives on the american frontier ,  which culminates in a brutal pitched battle ."
4784,1969,Bob & Carol & Ted & Alice,"couples bob & carol sanders and ted & alice henderson are best friends .  after attending a weekend self - help self - discovery session  ( bob is planning on making a documentary film on the subject )  ,  bob and carol feel newly enlightened ,  and want their friends ,  ted and alice ,  to feel the same way .   "" feel ""  is the operative word as they want people now to feel rather than think .  the foursome each examine their feelings ,  and admittedly their thoughts toward their individual relationships with each other and the topic of sex when bob admits to carol that he had a meaningless sexual dalliance ,  which carol later mentions to ted and alice .  after pushing the sexual boundaries with others ,  the foursome decide they have one last boundary to cross truly to test what they consider their new enlightened state ."
4788,2012,Blue Like Jazz,"disenchanted by the church and his devout christian mother ,   N  year - old donald escapes texas for the liberal northwest and attends reed college at the urging of his secular father .  at reed college ,  don finds that his classmates ,  from all walks of life ,  are more anti - religious and anti - everything than he was prepared for .  in an attempt to fit in ,  and more importantly ,  in an attempt to find himself ,  don joins an activist group which forces him to question what he really believes in ."
4790,1985,Silverado,"in  N  ,  four men travel together to the city of silverado .  they come across many dangers before they finally engage the  "" bad guys ""  and bring peace and equality back to the city ."
4795,1979,Breaking Away,"best friends dave ,  mike ,  cyril and moocher have just graduated from high school .  living in the college town of bloomington ,  indiana ,  they are considered  "" cutters ""  :  the working class of the town so named since most of the middle aged generation ,  such as their parents ,  worked at the local limestone quarry ,  which is now a swimming hole .  there is great animosity between the cutters and the generally wealthy indiana university students ,  each group who have their own turf in town .  the dichotomy is that the limestone was used to build the university ,  which is now seen as being too good for the locals who built it .  although each of the four is a totally different personality from the other three ,  they also have in common the fact of being unfocused and unmotivated in life .  the one slight exception is dave .  although he has no job and doesn ' t know what to do with his life ,  he is a champion bicycle racer .  he idolizes the italian cycling team so much he pretends to be italian ,  much to the chagrin of his parents ,  especially his used car salesman father ,  ray stoller ,  who just doesn ' t understand his son .  dave crosses the unofficial line when he meets and wants to date a iu co - ed named katherine bennett ,  who ,  intrigued by dave ,  in turn is already dating rod ,  one of the big men on campus .  dave passes himself off to her as an italian exchange student named enrico gismondi .  beyond katarina as he calls her ,  dave ' s main immediate focus is that the italian cycling team have announced that they will be in indianapolis for an upcoming race ,  which he intends to enter to be able to race his idols .  after an incident at the race ,  dave ,  with a little help from his parents and unwittingly by actions of his friends ,  has to reexamine his life ,  what he really wants to get out of it and how best to start achieving it ."
4796,2001,Monkeybone,"life couldn ' t be better for cartoonist stu miley .  he has created a hit comic strip featuring monkeybone ,  a petulant rascal with a penchant for wise cracks and racy antics .  stu ,  happy and in love with his beautiful girlfriend julie is on the verge of big success ,  as his comic strip is about to become a national television show .  but on the night stu is to propose to julie ,  he is struck down in a freak accident .  while stu ' s body lies comatose  -  and julie maintains a constant bedside vigil  -  his conscious spirit is transported to downtown ,  a purgatory - like limbo existing between life and death .  downtown has a carnival landscape populated by mythical gods and creatures who revel in the nightmares of the living .  upon his arrival ,  stu learns his ominous fate :  there ' s no turning back .  and just as things seem like they couldn ' t get any worse ,  stu ' s alter ego ,  monkeybone ,  springs to life to stir up some trouble .  now ,  stu must outwit death in order to return to the world of the living before the doctors pull the plug on stu ' s body .  but monkeybone has hatched his own plot that could thwart stu ' s plans .  .  ."
4798,2006,The Last Winter,"the american oil company north corporation is building an ice road to explore the remote northern arctic national wildlife refuge seeking oil .  the independent environmentalists together with the base leader ,  ed pollack ,  reach an agreement with the government ,  approving procedures and reports of the operation .  when a team member is found dead naked on the snow ,  the environmentalist james hoffman suspects that gases may have been accidentally released from the drill site provoking hallucinations and insanity in the group .  after a second fatal incident ,  he convinces ed to travel with the team to a hospital for examination ,  however ,  people continue to die ."
4799,2010,A Little Help,"dental hygienist laura pehlke ' s marriage has become sexless and dysfunctional .  because she drinks and smokes too much and has let her appearance go ,  she suspects her husband is cheating on her .  when he suddenly dies ,  she finds herself buckling in to her controlling sister and mother who push her into initiating a lawsuit she doesn ' t want to pursue against her husband ' s doctor and sending her introverted ,  troubled son to an elite private school he doesn ' t want to attend .  things get more complicated when she finds her son has told classmates his father is a dead  N  -  N  hero ,  and her brother - in - law confesses he ' s always loved her ,  not her sister .  laura needs  "" a little help ""  to deal with her life ."
4804,1963,The Haunted Palace,"charles dexter ward travels with his wife to arkham to inspect a large house he has inherited .  it was once owned by his great grandfather joseph curwen ,  a disciple of the devil ,  who cursed the local villagers as they burned him at the stake .  everyone is hostile to ward ,  blaming the curse for the number of mutants in the village .  indeed ,  ward ' s arrival allows curwen to take over his body and restart his evil ways by revenging himself on the descendants of those who killed him"
4805,1955,Bad Day at Black Rock,"it ' s  N  ,  a couple of weeks after the official end of the war .  for the first time in four years ,  the streamliner stops in the small american western desert town of black rock ,  and off the train steps john j .  macreedy .  wearing a suit ,  he ' s a middle aged man with a lame left arm who has never been to black rock .  without even knowing who he is or what his story is ,  the townsfolk are suspicious of macreedy .  they learn that he is only in town for  N  hours when the streamliner will pick him up the next day to take him to los angeles ,  where he will  "" restart ""  his life .  his trip to black rock is to speak to a japanese - american farmer named komoko who supposedly lives in adobe flat .  no one in town is willing to help macreedy locate komoko .  as macreedy is on his search to find komoko ,  he comes to the realization that reno smith is the town ' s leader in whatever they are hiding .  everyone else in town is either in cahoots with smith ,  or is unwilling to help for fear of reprisal from smith and his associates .  those unwilling to help include such influential people as the town ' s sheriff ,  the switchboard operator and the telegraph operator .  as those in cahoots with smith try to provoke macreedy ,  he also realizes that they are trying to have a reason to kill him .  regardless ,  macreedy knows that without help ,  he will be dead before morning comes as he has no access to either a vehicle or means of communication to the outside world .  when he finds out the secret the town is keeping ,  macreedy does whatever he needs to save his life and in the process save the town from the scourge that has hung over it for four years ."
4806,2001,The Princess Diaries,"mia thermopolis is the average teenager  -  sweet ,  a little geeky and pretty much invisible to everyone with the exception of her mother ,  best friend lilly and lilly ' s older brother michael .  making it through high school without throwing up is a challenge in itself for mia ,  so it doesn ' t come as welcome news when her estranged grandmother shows up out of the blue and calmly informs her that she is in fact the heir to the throne of a european country called genovia .  suddenly mia ' s life is thrown into complete overload .  she ' s being taught about scarves ,  waves and pears in order to become a perfect princess ,  she gets a makeover and a tough looking yet sweet bodyguard / limo driver called joe .  things get out of hand when the media gets a hold of the story and suddenly mia is thrust into the spotlight in both the newspapers and in school .  on top of all that mia has a choice to make .  she must decide by genovia ' s independence day ball whether she longs to relinquish her claim on the throne or to become the princess and heir to the throne her father and grandmother want her to be ."
4809,1948,The Boy with Green Hair,"the police find a pre - teen boy with a shaved head they do not know ,  and who will not divulge who he is to them .  it isn ' t until the police bring in sympathetic child psychologist dr .  evans that the boy decides to tell his story ,  including the reason for his shaved head .  his name is peter fry ,  who currently lives with a relative he calls gramp ,  despite gramp not being peter ' s true grandfather .  prior to gramp ,  peter was shuttled between several other relatives while peter ' s parents were away .  since his life with his parents ,  it wasn ' t until he started living with gramp ,  a retired performer who now works as a singing waiter ,  that peter felt like a normal boy in a loving and stable home .  this supportive life also includes several friends at school ,  under the sympathetic wing of their teacher ,  miss brand .  it wasn ' t until miss brand organized a clothing drive for war orphans that peter found out that that his own parents were killed in the war ,  meaning that he too is a war orphan ,  hence the true reason for living with relatives .  this newfound status made peter start to think about the war ,  the plight of war orphans ,  and the sanctity of life .  peter woke up one morning to find that his normally brown hair had turned to green .  although peter and all those around him had various reactions to his green hair ,  he eventually came to a belief of what the green hair meant ,  and the important mission associated with it .  but the action of others ,  who were less certain as to why peter ' s hair turned green ,  led to where peter is today .  with dr .  evans and gramp ' s help among others ,  peter may come back to truly appreciating who he is and his special place in the world ."
4811,1995,Heavy,"victor is a cook who works in a greasy bar / restaurant owned by his mother ,  dolly .  it ' s just the two of them ,  a waitress named delores ,  and a heavy drinking regular ,  leo .  but things change when callie ,  a beautiful college drop - out ,  shows up as a new waitress and steals victor ' s heart .  but victor is too shy to do anything about it ,  and too self - consciously overweight to dream of winning callie away from her demanding boyfriend ,  jeff .  victor ' s terrible loneliness overwhelms him when he has to face losing what he loves the most ."
4815,1955,Daddy Long Legs,"on a trip to france ,  millionaire jervis pendelton sees an  N  year old girl in an orphanage .  enchanted with her ,  but mindful of the difference in their ages ,  he sponsors her to college in new england .  she writes him letters ,  which he doesn ' t read .  after  N  years ,  he goes to visit her at a dance ,  not telling her that he is her benefactor .  they fall in love ,  but the usual movie - type difficulties get in the way before they can get together at the end ."
4820,2007,Elvis and Anabelle,"groomed by her overly ambitious mother ,  anabelle is on the road to winning the miss texas rose tiara when she dies tragically during a pageant .  her death lands her on the embalming table of elvis ,  an embittered young man whose sense of family duty and love for his ailing father keep him from following his dreams .  when anabelle is miraculously resurrected on elvis '  embalming table ,  the two unexpectedly connect and sparks fly .  with the help of each other and elvis '  father ,  they discover love ,  freedom and happiness as the real world and their own demons threaten to force them apart ."
